Amsterdam,Bangkok,Barcelona,Beijing,Berlin,Boston,Brussels,Cairo,Chicago,Copenhagen,Frankfurt,Fukuoka,Geneva,Hong Kong,Istanbul,Kuala Lumpur,London,Los Angeles,Madrid,Mexico City,Milan,Moscow,Mumbai,New York,Osaka,Paris,San Francisco,Sao Paulo,Seoul,Shanghai,Singapore,Stockholm,Sydney,Taipei,Tokyo,Toronto,Vancouver,Vienna,Washington D.C.,Zurich
1,Nominal GDP  ,5.0,8.8,7.5,34.3,12.7,4.8,7.2,0.2,16.2,2.2,4.7,6.5,3.2,28.3,15.2,1.5,65.7,22.8,10.0,18.8,5.5,36.3,3.2,71.9,21.9,24.1,8.6,24.5,28.3,38.2,30.1,5.4,29.8,3.6,100.0,9.6,0.0,8.4,9.5,3.2
2,GDP per Capita,51.5,7.4,23.5,6.9,22.8,44.0,44.9,0.0,34.1,46.9,56.5,32.1,68.4,21.5,5.0,12.1,42.3,34.6,20.3,11.4,31.9,15.9,0.8,46.4,48.5,63.4,48.0,11.2,14.5,6.6,30.9,48.3,36.0,11.3,59.9,24.1,22.5,32.8,100.0,83.8
3,GDP Growth Rate,29.7,51.6,19.9,100.0,40.9,36.7,30.8,49.9,26.3,32.6,21.3,27.2,24.8,76.6,58.9,94.0,54.1,19.7,9.4,31.3,21.6,12.2,88.6,26.5,10.6,31.6,30.4,37.6,35.6,95.8,78.0,44.4,0.0,51.6,16.5,27.9,27.7,31.7,30.0,22.7
4,Level of Economic Freedom,57.7,27.6,41.5,1.7,57.9,64.3,44.6,8.4,64.3,64.5,57.9,56.7,75.9,100.0,29.6,50.0,63.4,64.3,41.5,38.3,25.6,0.0,6.6,64.3,56.7,27.8,64.3,12.1,51.9,1.7,99.5,54.9,78.2,61.3,56.7,72.0,72.0,51.0,64.3,75.9
5,Total Market Value of Listed Shares on Stock Exchanges,3.0,1.6,1.3,0.0,0.3,-,1.4,0.3,-,1.2,6.6,2.0,0.0,12.3,0.8,1.7,13.7,0.0,1.3,1.8,2.2,1.5,5.9,100.0,0.0,7.9,0.0,3.2,4.6,14.9,2.9,2.6,4.9,3.6,16.6,8.0,0.0,0.4,0.0,5.7
6,World's Top 300 Companies,5.8,4.1,0.0,100.0,1.9,0.4,0.0,0.0,4.2,2.4,2.6,0.0,0.0,7.7,0.0,4.4,30.5,0.0,13.1,7.7,1.8,17.2,5.2,23.9,9.1,41.4,9.1,4.0,21.6,9.7,1.2,0.0,1.7,0.0,59.1,0.1,0.0,2.3,8.1,0.8
7,Total Employees,2.7,41.4,4.4,100.0,14.3,3.9,4.8,19.9,13.7,1.5,4.1,6.5,0.0,32.3,39.8,6.2,48.2,18.9,10.9,47.3,5.7,60.6,43.1,43.8,19.5,15.3,5.6,45.1,44.2,99.7,30.6,4.0,15.0,10.1,69.8,10.6,1.0,6.7,5.9,1.8
8,Number of Employees in Service Industry for Business Enterprises,4.2,14.1,3.9,100.0,13.0,2.0,5.8,6.0,9.6,1.1,6.9,5.0,0.0,25.5,12.2,5.0,65.7,11.9,8.7,13.6,6.2,17.2,12.0,31.3,16.1,17.6,4.0,32.0,35.4,55.6,15.9,5.2,13.8,7.7,60.9,14.9,2.2,5.1,2.2,2.2
9,Wage Level,49.9,4.4,36.5,6.1,50.5,67.3,52.2,1.8,53.5,81.9,57.0,50.9,82.3,24.5,13.9,9.3,50.8,55.6,34.7,3.7,44.2,15.7,0.0,65.4,50.9,49.8,100.0,15.4,33.1,8.9,21.9,53.2,61.2,17.7,60.0,48.8,91.8,51.3,86.4,87.7
10,Ease of Securing Human Resources,27.8,6.5,20.8,19.3,25.2,39.4,21.9,0.0,36.2,28.7,25.5,16.4,28.1,14.5,6.2,11.7,43.3,37.2,20.2,7.1,17.7,9.7,8.1,50.0,19.3,27.2,37.5,3.6,23.2,22.1,38.8,32.0,29.2,13.5,32.6,31.0,27.4,19.6,36.9,30.6
