Amsterdam,Bangkok,Barcelona,Beijing,Berlin,Boston,Brussels,Cairo,Chicago,Copenhagen,Frankfurt,Fukuoka,Geneva,Hong Kong,Istanbul,Kuala Lumpur,London,Los Angeles,Madrid,Mexico City,Milan,Moscow,Mumbai,New York,Osaka,Paris,San Francisco,Sao Paulo,Seoul,Shanghai,Singapore,Stockholm,Sydney,Taipei,Tokyo,Toronto,Vancouver,Vienna,Washington D.C.,Zurich
1,Nominal GDP,4.7,10.2,8.5,30.8,14.0,4.6,7.9,0.0,17.0,2.1,6.0,5.6,3.8,28.6,21.3,0.5,52.8,22.8,13.4,19.2,5.7,37.9,3.8,74.9,22.2,26.6,8.4,27.3,27.6,35.2,30.2,3.4,31.8,3.6,100.0,9.3,0.0,9.1,10.3,0.4
2,GDP per Capita,47.1,7.7,32.6,5.8,22.0,39.8,46.8,0.0,32.1,44.8,61.9,27.0,68.2,19.9,7.7,8.6,33.6,32.2,22.8,10.6,30.3,15.6,1.0,44.5,44.7,63.3,44.6,11.5,12.6,5.9,28.9,35.4,35.3,10.3,54.8,21.2,20.4,32.9,100.0,40.4
3,GDP Growth Rate,18.9,31.9,33.5,100.0,30.0,22.5,17.1,53.7,6.9,13.3,15.9,9.0,24.2,30.4,52.4,75.6,27.4,2.7,26.4,12.4,3.9,17.8,84.9,7.1,0.0,13.9,14.2,41.2,38.9,98.8,46.3,30.9,34.8,44.7,1.0,10.0,23.6,16.8,21.7,24.2
4,Level of Economic Freedom,58.6,34.0,44.2,2.1,56.8,65.2,47.4,9.7,65.2,65.4,56.8,54.2,78.3,100.0,30.9,39.3,62.0,65.2,44.2,41.6,24.9,0.0,10.7,65.2,54.2,34.0,65.2,17.3,50.3,2.1,96.6,57.1,82.5,56.5,54.2,74.1,74.1,54.2,65.2,78.3
5,Total Market Value of Listed Shares on Stock Exchanges,3.5,2.1,1.2,0.0,-,-,1.6,0.3,-,1.2,8.0,2.9,0.0,15.2,1.7,2.5,18.2,0.0,3.2,2.8,2.2,4.4,6.8,100.0,1.1,9.7,0.0,6.6,6.3,13.6,4.1,3.2,7.4,3.9,18.6,11.0,-,0.6,0.0,6.6
6,World's Top 300 Companies,8.1,4.9,0.0,94.5,2.9,0.0,0.0,0.0,4.7,3.5,4.7,0.0,0.0,7.3,1.9,5.6,35.7,0.0,17.8,9.4,4.6,19.2,7.8,37.4,15.6,58.6,11.6,0.4,26.2,6.6,1.9,0.0,3.5,0.0,100.0,3.3,0.0,2.2,10.5,8.0
7,Number of Employees,2.9,42.9,4.8,96.8,14.3,4.1,5.1,20.0,14.0,1.8,3.8,7.0,0.0,32.7,39.8,6.0,45.8,18.0,11.5,49.0,6.3,60.5,44.7,43.6,21.1,16.0,5.3,44.7,44.8,100.0,29.4,4.1,15.8,9.8,71.1,10.8,1.6,7.5,6.3,2.0
8,Number of Employees in Service Industry for Business Enterprises,4.9,5.0,3.7,100.0,15.0,1.9,6.5,7.4,10.5,1.3,8.6,5.3,0.0,28.0,12.7,5.2,39.4,13.0,9.6,11.6,3.0,19.9,13.9,33.5,18.7,18.0,4.0,33.3,45.4,63.6,16.9,5.3,15.9,8.6,64.8,13.8,8.8,5.9,2.0,2.5
9,Wage Level,52.6,4.6,38.5,6.4,53.2,68.3,55.0,1.9,56.3,86.3,60.0,50.0,86.7,25.8,14.6,9.8,53.5,58.6,36.5,3.9,46.5,16.5,0.0,68.9,53.2,52.4,100.0,16.3,34.9,9.3,22.3,56.0,64.5,18.7,63.2,51.4,94.2,54.0,89.7,92.3
10,Ease of Securing Human Resources,17.6,11.1,27.1,20.6,17.4,32.0,13.9,10.5,26.4,17.7,18.5,4.6,10.2,11.6,17.3,5.8,43.0,25.6,23.6,10.1,19.3,8.3,16.2,50.0,10.9,31.3,25.4,0.0,27.2,25.8,28.0,24.4,20.1,8.9,34.2,21.7,16.8,10.1,28.8,15.4
